restaurant_id,category_menuitem,name_menuitem,description,price,id,position,name_restaurant,score,ratings,category_restaurant,price_range,full_address,zip_code,lat,lng
8537,Poultry and Meats,Rendang Sapi,Tender dry beef curry slow cooked in our traditional coconut sauce with eggs and crackers.,17.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066
8537,Poultry and Meats,Ayam Goreng Penyet,Crushed fried chicken served with rice and chili paste.,13.95 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066
8537,Poultry and Meats,Ayam Bakar Kecap,Grilled chicken served with sweet BBQ sauce.,14.95 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066
8537,Poultry and Meats,Ayam Bakar Manado,Manadonese spicy BBQ chicken.,14.95 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066
8537,Mini Rijsttafel,MR Ayam Goreng Balado,Fried chicken topped with balado chili sauce.,16.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066
8537,Mini Rijsttafel,MR Ayam Goreng Mbok Berek,Javanese fried chicken topped with deep fried savory crumbs.,16.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066
8537,Mini Rijsttafel,MR Ayam Cabe Ijo,Padangnese chicken with green chili sauce.,16.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066
8537,Mini Rijsttafel,MR Rendang Sapi,Tender dry beef curry slow-cooked in our traditional coconut sauce with eggs and crackers.,19.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066
8537,Mini Rijsttafel,MR Ayam Bakar Kecap,Grilled chicken served with sweet BBQ sauce.,16.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066
8537,Mini Rijsttafel,MR Ayam Bakar Manado,Manadonese spicy BBQ chicken.,16.5 USD,8537,66,Indo Cafe,4.8,47.0,"Asian, Indonesian",$,"13754 Aurora Ave N, Seattle, WA, 98133",98133,47.7301676,-122.3445066
